ro,en
viziona,watch
bucur,joy
iehova,jehovah
recapitulare,review
obiectiv,objective
apublica,publishes
scaneaz,scans
rezumat,summary
aprofundeaz,deepens
trebuies,must
discuta,discuss
stiin,stine
crezic,creed
biblia,bible
antul,announcement
aceast,this
deasemenea,also
deaceea,therefore
atoare,ator
revela,reveals
sadar,aware
chiar,even
aiere,aier
aspunde,hide
stini,sty
intruc,because
adeiehova,goodbye
atorie,atory
aciune,actions
opersoan,impersonal
bibliei,bible
tiune,tune
atura,religion
tiile,solid
cesim,body
anerug,back
arziu,arzium
religiafals,religious
asperan,rough
azboaielor,azboai
antuls,anthill
atuit,worked
intreba,ask
aanaliz,analyze
biblie,bible
arbat,tea
deces,death
abiblia,bible
pentruc,because
deoarece,because
uneori,sometimes
folose,uses
suferin,suffering
tioneaz,ting
parteai,part
aprofe,teach
iehovane,spiritually
azboi,asbestos
telepciune,wisdom
prinurmare,consequently
seasc,seascale
acatul,acat
tumit,heel
telepte,settled
anebucur,anechoic
speran,hope
asitua,satiated
aeste,aest
nezeu,god
antului,antula
iaduce,lead
continu,continuous
siisus,sis
tiicre,check
cunoa,know
devia,should
arile,decline
tioameni,amen
analizeaz,analyzes
afaci,aphakia
stiindc,knowing
areac,area
iehovai,jehovah
stipreg,strong
ateasc,atheist
ceartrebuis,correctrebuis
sfaturi,tips
organiza,organizes
aturile,ats
acceseaz,accesses
psalmul,psalm
aspunsurila,answers
biblic,biblical
dumnezeui,godhead
ajutas,helper
ascult,listen
cefoloase,useless
stinii,science
ascut,sharpened
aajutat,helped
sieva,wife
cumneajut,good-bye
atuncic,then
indiferentc,indifferently
matei,mate
alege,choose
scripturile,scriptures
aspunsuri,aspuncture
poate,maybe
niciodat,ever
arului,softeners
cumarfi,keep
calit,smear
aspus,sharp
aajutats,aaided
probabil,probable
analiza,analysis
aiputea,quote
apentru,ato
tiurm,court
stipeiehova,stipieehova
mondial,world
aneinfluen,influenza
veianalizac,veinanalization
isusle,remove
alevorbe,talk
vorbe,words
cualtecuvinte,anytecuvinte
acatului,acat
tumire,send
stere,stars
amintea,reminiscing
atore,take
andal,reliable
aalebibliei,alebibli
telep,colony
eviden,evidence
publica,publishes
familie,family
fericit,happy
oamenii,people
defapt,actually
tamea,tame
datorit,thanks
sivia,sylvia
tiisale,tuesday
siajut,sajut
sirug,big
noastr,our
aciunea,action
aprob,approval
tinem,keep
isusi,leak
inprezent,absent
tucele,please
marcu,mark
predic,preach
amoar,cupid
ceauf,cough
intreab,ask
acare,switchman
pecare,which
adinaedenului,adinaeden
eldore,eldora
recuno,thanksgiving
acuisus,sharpened
aguverneze,govern
andvedec,andscientist
altora,others
atoria,sleep
deaseme,also
persecu,persecution
aminte,memory
atoase,all
prietenii,friends
incepes,started
steversetele,stevesettes
exemplu,example
ajuta,help
bliei,bliii
citirea,reading
ajutor,help
asemenea,also
decizii,decisions
prezint,submit
tepentru,warm
cumaajutat,cumajuutat
amerit,americans
veiaflacum,roadblock
aoamenii,world
stiic,stick
avorbe,avoir
bibliaafirm,biblefirm
teles,body
decenu,ten
dumnezeuva,goddess
iubirea,love
aiputeaavea,aipteavea
iehovaa,yes
tionat,tion
tineriise,young
aciuni,actions
untat,smeared
aterogi,atherog
biblice,bible
explic,explain
aparticip,participant
atorite,authorized
siplin,siblin
cetevaajutas,cetevajuta
tiproverbele,proverb
opozi,opposition
ateajute,help
talui,slope
cumanume,together
atoarea,all
tiprin,tip
aturi,trust
iehoval,he/she/it
iubireafa,love_afa
cumar,omar
depredicare,depreaching
dimpotriv,contrary
stateleunite,unitedstates
autorit,copyright
atoas,yes
cumle,sentence
atorpentru,actorfor
perfec,perfecting
acatele,these
cumputemar,samuel_samuel
continua,continues
aface,business
ceciti,blindness
asist,assist
bibliaarat,bibliophiles
carenu,careno
tuceaispune,tuceaisanswer
