ro,en
viziona,watch
bucur,joy
iehova,Jehovah
recapitulare,REVIEW
obiectiv,objective
apublica,public
scaneaz,scans
rezumat,summary
aprofundeaz,deepens
trebuies,must
discuta,discuss
stiin,science
crezic,creed
biblia,biblically
antul,ANNOUNCEMENT
aceast,THIS
deasemenea,also
deaceea,therefore
atoare,ator
revela,reveal
sadar,sad
chiar,even
aiere,Aier
aspunde,hide
stini,Stine
intruc,because
adeiehova,yes, Jehovah
atorie,ator
aciune,actions
opersoan,person
bibliei,BIBLE
tiune,NS
atura,ATs
tiile,tions
cesim,Cesima
arziu,burning
religiafals,false religion
asperan,asperant
azboaielor,azboai
atuit,trump card
intreba,ask
aanaliz,analysis
biblie,Bible
arbat,lawn
deces,death
abiblia,the bible
pentruc,because
deoarece,because
uneori,sometimes
folose,uses
suferin,suffering
tioneaz,ting
parteai,part
aprofe,teach
iehovane,Jehovah's Witnesses
azboi,asbestos
telepciune,wisdom
prinurmare,consequently
seasc,Seascale
acatul,ACAT
tumit,fear
telepte,wise
anebucur,happy birthday
speran,hope
asitua,Asit
aeste,AEST
nezeu,god
antului,ANTULA
iaduce,bring
continu,continue
siisus,sissus
tiicre,three
cunoa,KNOW
devia,depart
arile,arils
tioameni,two people
analizeaz,analyzes
afaci,aphakic
stiindc,knowing
areac,area
iehovai,Jehovah
stipreg,strong
ateasc,atheist
ceartrebuis,I had to argue.
sfaturi,tips
organiza,organize
aturile,ATs
acceseaz,Accesses
psalmul,PSALM
aspunsurila,answers
biblic,biblical
dumnezeui,godhead
ajutas,helper
ascult,listen
cefoloase,useless
stinii,science
ascut,sharpened
sieva,sister
cumneajut,good-bye
atuncic,then
indiferentc,indifferent
matei,MATE
alege,choose
scripturile,SCRIPTURES
aspunsuri,answers
poate,maybe
niciodat,ever
arului,softeners
cumarfi,buy
calit,hardened
aspus,sharp
probabil,probable
analiza,analysis
aiputea,could
apentru,aTo
tiurm,team
stipeiehova,stipiehova
mondial,world
aneinfluen,aneinfluenza
veianalizac,you will analyze
isusle,Jesus
alevorbe,talk
vorbe,WORDS
atebotezi,baptize
cualtecuvinte,what words
acatului,ACAT
tumire,tumulus
stere,stars
amintea,Reminiscing
atore,ator
telep,phone
eviden,Evidence
publica,publicly
familie,family
fericit,happy
oamenii,people
defapt,actually
tamea,Tame
datorit,thanks
sivia,siva
tiisale,you are beautiful
siajut,sly
sirug,string
noastr,OUR
aciunea,action
aprob,approval
tinem,keep
isusi,Jesuits
inprezent,at present
tucele,the tusks
marcu,MARK
predic,preach
amoar,love
ceauf,oh my
intreab,ASK
acare,switchman
pecare,which
eldore,Eldora
recuno,thanksgiving
acuisus,aquisus
aguverneze,govern
altora,OTHERS
atoria,ator
deaseme,also
persecu,persecution
aminte,memory
atoase,all
prietenii,friends
incepes,started
steversetele,stevesettes
exemplu,example
ajuta,help
bliei,BLIESE
citirea,reading
ajutor,help
asemenea,also
decizii,decisions
prezint,SUBMIT
tepentru,for you
amerit,America
veiaflacum,came, came
stiic,science
avorbe,avoir
bibliaafirm,the bible affirms
teles,Telescopic
decenu,decade
dumnezeuva,goddess
iubirea,love
iehovaa,Jehovah
tionat,tion
tineriise,young
aciuni,actions
untat,buttered
aterogi,aterogus
biblice,Bible
explic,explain
aparticip,participant
atorite,atorit
cetevaajutas,some help
tiproverbele,proverbs
opozi,opposition
ateajute,help
talui,slope
cumanume,same name
atoarea,all
tiprin,print
aturi,ATs
iehoval,Jehovah
iubireafa,love_afa
cumar,gambling
depredicare,depreaching
dimpotriv,contrary
stateleunite,unitedstates
autorit,authorities
atoas,stringy
cumle,cum
atorpentru,actorfor
perfec,perfecting
acatele,these
cumputemar,samuel_samuel
continua,continue
aface,business
ceciti,blind
asist,assist
bibliaarat,biblereading
carenu,who doesn't
tuceaispune,tuceaisanswer
timaterialul,thematerial
amdecizii,my decisions
aplic,apply
