ro,en
a-iajute,to help
a-iajutepe,to help
a-iajutepeal,to help
a-iajutes,to help
aacestlu-,this-
aacests,these
aacolo,there
aacord,agree
aacum,now
aaerului,air
aajut,help
aajutes,helps
aajutor,help
aalBibliei,Bible
aaleag,choose
aalecur,something
aaleges,choose
aallui,all
aaltora,others
aamacorda,agree
aamintec,remember
aanun,anun
aape-,water-
aapre-,after-
aaratec,show
aatitudine,attitude
aavorbi,speak
aavort,abortion
Abiaa,only
aBibliaeste,theBibleis
aboteza,baptize
abucurie,joy
acatele,these
acau-,here-
aceciti,these
aceea,THEREFORE
acele,those
acelebr,those
aceste,these
acevate,these
acevei,those
acevia,these
acineva,someone
acinstea,respect
aciti,read
acitirea,reading
acitireabibliei,Bible reading
aciune,actions
aciunea,action
aciuneaat,action
aciunes,action
aciuni,actions
aciunii,action
aciunile,actions
aciunilor,actions
aclar,clear
acolo,there
aconsider,consider
acontinui,continue
aconvingerile,beliefs
acordc,agree
acudevo,now
acuea,now
acuel,today
acuIsus,Jesus
acujw,now
Acumc,Now
acump,now
acuno,now
acunoa,now
acunoi,now
acureligia,religion
acureligiafals,falsereligion
acuuneles,now
acuunfost,now
adaisfaturi,tips
adeap,indeed
adeaproape,closely
adeasfaturi,advice
adeaunsfat,advice
adebotez,baptism
adebun,good
adecazs-a,appropriate
adeci-,therefore-
adecid,agree
adecineva,someone
adecizie,decision
adeciziile,decisions
adeei,yes
adeIsus,Jesus
ademoarte,death
adepep,follow
adepetotp,follower
aderespect,respect
adesea,often
adesfr,therefore
adeso,often
adesolu,finally
adestram,train
adeunasimi-,agree-
adevia,truth
adevii,true
adevo,yes
adinmulte,many
adinnou,new
adinpre-,about-
adisci-,to learn-
adiscu-,discuss
adivertismentelenes,entertainment
adivertismentes,entertainment
ADRESA,ADDRESS
Adu-i,Bring
aduce,bring
aducem,BRING
aDumnezeua,God
adurere,worship
aduve,bring
aefortul,effort
aenecesar,necessary
aenergie,energy
aestenevoit,necessary
afamiliei,family
afamilii,families
afemeies,women
aferente,related
afericit,happy
afiepace,peace
afiepractic,practical
afifostprietenii,friends
afiifericit,happy
afimferici,happy
afiubotezat,baptized
aflat,FOUND
afolo-,use-
afolosi,use
aform,form
aiboteza,baptism
aidac,yes
aideeac,help
aidinnou,new
aieideciziibune,gooddecisions
aierepen-,air-
aierif,air
ailustrare,illustration
