ro,en,freq,confidence
iehova,Jehovah,1004,1
dumnezeu,god,531,1
cititi,Read,412,1
citiți,read,412,1
discutati,discussion,336,1
discutați,Discuss,336,1
viata,life,257,1
oameni,people,185,1
ajuta,help,179,1
trebuie,must,176,1
turnul,the tower,167,1
veghe,watch,167,1
viața,life,161,1
cercetează,Examine,130,1
cerceteaza,Examine,129,1
spune,say,129,1
materialul,MATERIAL,123,1
vizionati,Preview,119,1
vizionați,watching,119,1
vedea,see,117,1
articol,article,115,1
lecția,Lesson,115,1
privire,look,108,1
viață,life,106,1
multe,many,95,1
altii,others,84,1
alții,others,84,1
foloase,BENEFITED,83,1
crezi,you believe,82,1
biblie,Bible,77,1
aduce,bring,75,1
făcut,made,75,1
pământ,earth,72,1
martorii,witnesses,71,1
Partea,part,70,1
aceste,these,69,1
partea,part,69,1
persoana,person,69,1
persoană,person,69,1
unele,some,68,1
vedere,view,68,1
pamant,earth,67,1
creștinii,Christians,64,1
facut,made,64,1
decizii,decisions,62,1
pagina,page,62,1
vieții,LEARNING,62,1
aprofundează,-Explore,61,1
prietenii,friends,61,1
rezumat,summary,61,1
Dumnezeu,God,60,1
lectiei,lesson,59,1
lecției,lesson,59,1
alcool,alcohol,58,1
oamenii,people,57,1
să-ți,TO YOUR,56,1
inchinare,worship,55,1
închinare,worship,55,1
arata,show,54,1
crestinii,Christians,54,1
asemenea,also,53,1
congregație,congregation,53,1
familie,family,53,1
sa-si,Let them,53,1
să-și,Let him,53,1
iubirea,love,52,1
vietii,life,52,1
creștini,Christians,51,1
sa-ti,Let me,51,1
Iehova,Jehovah,50,1
cuvantul,the word,49,1
cuvântul,the word,49,1
există,exist,49,1
congregatie,congregation,48,1
exista,exist,48,1
adevarati,real,47,1
biblice,Bible,46,1
cateva,a few,46,1
câteva,a few,46,1
crestini,Christians,46,1
exemplu,example,45,1
credinta,faith,44,1
oamenilor,people,44,1
simti,feel,44,1
simți,feel,44,1
inseamna,means,43,1
înseamnă,means,43,1
invata,learn,43,1
fiecare,each,42,1
lucruri,things,42,1
religia,religion,42,1
sânge,blood,42,1
congregația,Congregation,41,1
intelege,understand,41,1
înțelege,understand,41,1
intrebari,question,41,1
întrebări,question,41,1
cineva,someone,40,1
inainte,before,40,1
întrunirile,meetings,40,1
orice,any,40,1
parte,part,39,1
totdeauna,always,39,1
ajută,help,38,1
batranii,elderly,37,1
bătrânii,ELDERLY,37,1
citirea,reading,37,1
corpul,body,37,1
multi,many,37,1
mulți,many,37,1
sange,blood,37,1
congregatiei,congregation,36,1
congregației,congregation,36,1
iubire,love,36,1
moartea,death,36,1
predica,preach,36,1
speranta,hope,36,1
deoarece,because,35,1
intrunirile,the meetings,35,1
punct,point,35,1
punctul,point,35,1
arăta,show,34,1
facem,we do,34,1
nevoie,need,34,1
prieten,friend,34,1
situatii,situations,34,1
situații,situations,34,1
treziți,Wake,34,1
treziți-vă,wake up,34,1
anume,certain,33,1
copiii,children,33,1
inceput,start,33,1
început,start,33,1
pregătit,prepared,33,1
