ro,en,confidence,occurrences,votes
acasa,home,1,1,1
acasă,home,1,1,1
accepta,accept,1,1,1
aceea,THEREFORE,1,1,1
acelasi,same,1,1,1
același,same,1,1,1
aceste,these,1,1,1
acestei,of This,1,1,2
acestia,these,1,1,1
acțiunile,'s actions,1,1,2
activitate,activity,1,1,1
activitati,activity,1,1,1
activități,ACTIVITY,1,1,1
adevarat,true,1,1,1
adevărat,true,1,1,1
adevarata,true,1,1,1
adevărată,true,1,1,1
adevarati,real,1,1,1
adevărații,real,1,1,1
adica,THAT IS,1,1,2
aduca,bring,1,1,1
aducă,bring,1,1,1
aduce,bring,1,1,1
ajunge,reach,1,1,1
ajuta,help,1,1,1
ajută,help,1,1,1
ajutat,helped,1,1,1
ajute,help,1,1,1
ajutor,help,1,1,1
ajutorul,the help,1,1,2
alcool,alcohol,1,1,1
alege,choose,1,1,1
altele,Other,1,1,1
altii,others,1,1,1
alții,others,1,1,1
analizati,analyze,1,1,1
analizați,Review,1,1,1
analizeaza,CONSIDER,1,1,1
anume,certain,1,1,1
aplica,apply,1,1,1
aprilie,April,1,1,1
aproape,almost,1,1,1
aproba,approve,1,1,1
aprobă,approve,1,1,1
aprobat,approved,1,1,1
aprofundează,-Explore,1,1,1
arata,show,1,1,1
arată,show,1,1,1
arăta,show,1,1,1
arătăm,show,1,1,1
armonie,harmony,1,1,1
articol,article,1,1,1
asadar,therefore,1,1,1
așadar,therefore,1,1,1
asculta,listen,1,1,1
ascultă,listen,1,1,1
ascultat,listened to,1,1,2
asemanator,like,1,1,1
asemănător,like,1,1,1
asemenea,also,1,1,1
asista,assist,1,1,1
aspecte,AspEcts,1,1,1
asteapta,Wait,1,1,1
așteaptă,Wait,1,1,1
atentie,Careful,1,1,1
atenție,Careful,1,1,1
atins,reached,1,1,1
babilonul,BABYLON,1,1,1
banii,the money,1,1,2
barbat,man,1,1,1
bărbat,man,1,1,1
batrani,old,1,1,1
bătrâni,old,1,1,1
batranii,elderly,1,1,3
bătrânii,ELDERLY,1,1,3
batranilor,elderly,1,1,3
bătrânilor,elderly,1,1,3
biblice,Bible,1,1,1
biblie,Bible,1,1,1
Bibliei,Bible,1,1,1
binele,the good,1,1,2
botez,baptism,1,1,3
boteza,baptize,1,1,1
botezat,named,1,1,1
botezi,baptize,1,1,1
botezul,baptism,1,1,3
botezului,baptism,1,1,3
bucura,joy,1,1,1
bucură,joy,1,1,1
bucuram,enjoy,1,1,1
bucuria,joy,1,1,1
bucurie,joy,1,1,1
bunatate,kindness,1,1,1
bunătate,kindness,1,1,1
cadou,gift,1,1,1
calea,the way,1,1,2
calitati,qualities,1,1,1
calități,qualities,1,1,1
calitățile,qualities,1,1,1
capat,end,1,1,1
capăt,end,1,1,1
capitolul,Chapter,1,1,1
carte,book,1,1,1
carti,book,1,1,1
cărți,book,1,1,1
casatoria,marriage,1,1,1
căsătoria,marriage,1,1,1
casatorie,marriage,1,1,1
căsătorie,marriage,1,1,1
cateva,a few,1,1,2
câteva,a few,1,1,2
cauta,search for,1,1,2
caută,search for,1,1,2
cauza,cause,1,1,1
ceilalti,other,1,1,1
ceilalți,other,1,1,1
cerceteaza,Examine,1,1,1
cercetează,Examine,1,1,1
cerintele,requirements,1,1,1
cerințele,requirements,1,1,1
Cine,Who,1,1,1
cineva,someone,1,1,1
cinstit,honest,1,1,1
cinstiti,honest,1,1,1
cinstiți,Honor,1,1,1
citeste,read,1,1,1
citește,read,1,1,1
citesti,you read,1,1,2
citești,you read,1,1,2
citirea,reading,1,1,1
citirii,reading,1,1,1
cititi,Read,1,1,1
citiți,read,1,1,1
clara,clear,1,1,1
clară,clear,1,1,1
comiți,commit,1,1,1
conducatori,lead,1,1,1
conduce,lead,1,1,1
congregatia,congregation,1,1,3
congregația,Congregation,1,1,3
congregatie,congregation,1,1,3
congregație,congregation,1,1,3
congregatiei,congregation,1,1,3
congregației,congregation,1,1,3
consideră,CONSIDERS,1,1,1
constiinta,conscience,1,1,1
conștiința,conscience,1,1,1
conștiință,conscience,1,1,1
contine,contain,1,1,1
conține,contain,1,1,1
continua,continue,1,1,1
continuă,continue,1,1,1
continui,content,1,1,1
contribui,contribute,1,1,1
convingerile,BELIEFS,1,1,1
copiii,children,1,1,1
copiilor,children,1,1,1
copil,child,1,1,1
corpul,body,1,1,1
corpului,Corps,1,1,1
creat,creator,1,1,1
credem,BELIEVE,1,1,1
credinta,faith,1,1,1
credința,faith,1,1,1
credință,faith,1,1,1
