ro,en
acasa,home
acasă,home
accepta,accept
aceea,THEREFORE
acelasi,same
același,same
aceste,these
acestei,of This
acestia,these
acțiunile,'s actions
activitate,activity
activitati,activity
activități,ACTIVITY
adevarat,true
adevărat,true
adevarata,true
adevărată,true
adevarati,real
adevărații,real
adica,THAT IS
aduca,bring
aducă,bring
aduce,bring
ajunge,reach
ajuta,help
ajută,help
ajutat,helped
ajute,help
ajutor,help
ajutorul,the help
alcool,alcohol
alege,choose
altele,Other
altii,others
alții,others
analizati,analyze
analizați,Review
analizeaza,CONSIDER
anume,certain
aplica,apply
aprilie,April
aproape,almost
aproba,approve
aprobă,approve
aprobat,approved
aprofundează,-Explore
arata,show
arată,show
arăta,show
arătăm,show
armonie,harmony
articol,article
asadar,therefore
așadar,therefore
asculta,listen
ascultă,listen
ascultat,listened to
asemanator,like
asemănător,like
asemenea,also
asista,assist
aspecte,AspEcts
asteapta,Wait
așteaptă,Wait
atentie,Careful
atenție,Careful
atins,reached
babilonul,BABYLON
banii,the money
barbat,man
bărbat,man
batrani,old
bătrâni,old
batranii,elderly
bătrânii,ELDERLY
batranilor,elderly
bătrânilor,elderly
biblice,Bible
biblie,Bible
Bibliei,Bible
binele,the good
botez,baptism
boteza,baptize
botezat,named
botezi,baptize
botezul,baptism
botezului,baptism
bucura,joy
bucură,joy
bucuram,enjoy
bucuria,joy
bucurie,joy
bunatate,kindness
bunătate,kindness
cadou,gift
calea,the way
calitati,qualities
calități,qualities
calitățile,qualities
capat,end
capăt,end
capitolul,Chapter
carte,book
carti,book
cărți,book
casatoria,marriage
căsătoria,marriage
casatorie,marriage
căsătorie,marriage
cateva,a few
câteva,a few
cauta,search for
caută,search for
cauza,cause
ceilalti,other
ceilalți,other
cerceteaza,Examine
cercetează,Examine
cerintele,requirements
cerințele,requirements
Cine,Who
cineva,someone
cinstit,honest
cinstiti,honest
cinstiți,Honor
citeste,read
citește,read
citesti,you read
citești,you read
citirea,reading
citirii,reading
cititi,Read
citiți,read
clara,clear
clară,clear
comiți,commit
conducatori,lead
conduce,lead
congregatia,congregation
congregația,Congregation
congregatie,congregation
congregație,congregation
congregatiei,congregation
congregației,congregation
consideră,CONSIDERS
constiinta,conscience
conștiința,conscience
conștiință,conscience
contine,contain
conține,contain
continua,continue
continuă,continue
continui,content
contribui,contribute
convingerile,BELIEFS
copiii,children
copiilor,children
copil,child
corpul,body
corpului,Corps
creat,creator
credem,BELIEVE
credinta,faith
credința,faith
credință,faith
crestin,Christian
creștin,Christian
crestina,CHRISTIAN
crestini,Christians
creștini,Christians
crestinii,Christians
creștinii,Christians
creștinilor,Christian
crezi,you believe
cunoaste,know
cunoaște,know
cunosti,know
cunostinta,knowledge
curaj,Courage
curand,soon
curând,soon
curata,cleanse
curată,cleanse
curățenia,cleaning
curati,clean
curați,clean
cuvantul,the word
cuvântul,the word
cuvinte,wORDS
cuvintele,the words
decat,than
decât,than
decembrie,December
decizia,Decision
decizie,decision
decizii,decisions
dedicat,dedicated
dedici,commit
demonii,demons
demonilor,demons
deoarece,because
descoperi,discover
determinat,determined
deveni,become
devii,BECOMING
dezonorează,dishonor
dezvaluie,reveal
dezvăluie,Reveals
diferite,differently
discipolii,followers
discutati,discussion
discutați,Discuss
divertismente,Entertainment
dorinta,desire
dorința,desire
dovedi,prove
dovedim,prove
dovezi,EVIDENCE
drept,justice
dreptul,right
dumnezeu,god
Dumnezeu,God
durere,pain
efect,effect
eforturi,efforts
evenimente,event
evitam,we avoid
exemplu,example
exemplul,Example
exista,exist
există,exist
existenta,existence
explica,explain
explică,explain
facem,we do
facut,made
făcut,made
familia,family
familie,family
familiei,Family
familii,families
faptul,the fact
februarie,February
femeie,woman
fericirea,happiness
fericita,happy
fericită,happy
fericiti,happy
fericiți,happy
fidel,faithfully
fiecare,each
fiind,being
fizic,physical
foloase,BENEFITED
folosește,use
folosești,use
folosi,use
folosim,we use
folosirea,use
folosit,used
fractiuni,fractions
fracțiuni,fractions
frate,brother
fratii,brothers
frații,brothers
fratilor,brothers
fraților,brother
frumoasa,beautiful
frumoasă,beautiful
frumoase,beautiful
gândește,thinks
gandeste-te,Think
gândește-te,Think
ganduri,thoughts
gânduri,thoughts
gandurile,thoughts
gândurile,thoughts
gresit,wrong
greșit,wrong
gresita,wrong
greșită,wrong
grija,care
grijă,care
guverneaza,GOVERNING
guvernează,GOVERNING
guvernele,GOVERNMENTS
guverneze,governor
hotărât,decided
hrana,food
hrană,food
ianuarie,January
ideea,the idea
identifica,identify
iehova,Jehovah
Iehova,Jehovah
ilustratia,illustration
ilustrația,the illustration
ilustratiile,illustrations
ilustrațiile,illustrations
imaginează,imagine
imagineaza-ti,imagine
imaginează-ți,imagine
imita,imitate
imoralitate,immorality
imoralitatea,immorality
impiedica,prevent
impiedice,prevent
implica,GET INVOLVED
implică,GET INVOLVED
implinit,fulfilled
împlinit,fulfilled
importanta,importance
importantă,importance
importante,important
impotriva,against
împotriva,against
impreuna,together
împreună,together
inainte,before
inaintea,before
înaintea,before
incearca,try
încearcă,try
incepe,start
începe,start
inceput,start
început,start
incercare,test
inchina,worship
inchinam,worship
închinăm,WORSHIP
inchinare,worship
închinare,worship
inchinarea,worship
închinarea,worship
incredere,trust
încredere,trust
increderea,trust
încrederea,trust
indeamna,urges
indiferent,indifferent
indruma,lead
indrumare,guidance
îndrumare,guidance
îndrumarea,guidance
infatisarea,appearance
înfățișarea,look
influenta,influence
influența,influence
îngeri,angels
ingerii,angels
îngerii,angels
ingriji,care
inima,heart
inimă,heart
inlatura,remove
inseamna,means
înseamnă,means
intampla,happen
întâmplă,happen
intari,strengthen
întări,strengthen
intelege,understand
înțelege,understand
intelegem,we understand
înțelegem,we understand
intelepciune,wisdom
înțelepciune,wisdom
intelept,wise
înțelept,wise
intelepte,wise
înțelepte,wise
interactiv,interactive
intotdeauna,ever
întotdeauna,ever
intr-o,IN A
într-o,One
intr-un,IN A
într-un,IN A
intre,between
intreaba,ask
întreabă,ask
intreba,ask
întreba,ask
intrebare,question
intrebari,question
întrebări,question
intrebarile,QUESTIONS
întrebările,QUESTIONS
intrerupta,interrupted
intrucat,because
întrucât,because
intrunire,meet
întrunire,meet
intruniri,meetings
întruniri,meetings
intrunirile,the meetings
întrunirile,meetings
invata,learn
învață,learn
învăța,learn
invatam,learn
învățăm,LEARNING
invatat,learned
învățat,learned
invataturile,TEACHINGS
învățăturile,teachings
inveti,you learn
înveți,you learn
invia,resurrected
inviati,resurrected
invinge,defeat
învinge,defeat
Isus,Jesus
iubeasca,love
iubească,love
iubesc,I love
iubeste,loves
iubește,loves
iubești,love
iubire,love
iubirea,love
iulie,July
jertfa,sacrifice
lecția,Lesson
lectie,lesson
lecție,lesson
lectiei,lesson
lecției,lesson
lectii,lessons
lecții,lessons
lectiile,the lessons
lecțiile,the lessons
legile,the laws
limba,language
locală,local
locul,place
loial,fair
loiali,loyalty
loialitatea,loyalty
lucrare,work
lucrarea,MINISTRY
lucruri,things
lucrurile,things
lumea,the world
lumii,THE WORLD
lupta,fight
majoritatea,the majority
mangaiere,comfort
mângâiere,comfort
manifestam,DEMONSTRATE
martie,March
martori,witnesses
martorii,witnesses
martorilor,witnesses
măsuri,are the measures
materiale,materials
materialul,MATERIAL
medicale,physician
membrii,members
mereu,always
merita,deserve
merită,deserve
mesajul,the message
mesia,Messiah
minciuna,lie
minciună,lie
miracolele,miracles
moarte,death
moartea,death
morții,death
morților,dead
motiv,reason
motive,STATEMENT
multe,many
multi,many
mulți,many
multor,SEVERAL
munca,work
muncă,work
murim,die
nastere,birth
naștere,birth
natura,nature
natură,nature
ne-ar,We would
neutralitatea,neutrality
neutri,neutral
nevoie,need
niciodata,never
niciodată,never
nimic,nothing
noiembrie,November
numit,appointed
oameni,people
oamenii,people
oamenilor,people
observa,notice
observă,notice
ochii,eyes
octombrie,October
oferi,offer
oferit,PROVIDED
onoare,honor
orice,any
originea,origin
pacat,sin
păcat,sin
pacatele,sins
păcatele,sins
pacatul,sin
păcatul,sin
pagina,page
pamant,earth
pământ,earth
paradis,paradise
parere,opinion
părere,opinion
parintii,parents
părinții,parents
parintilor,parents
părinților,fathers
parte,part
partea,part
Partea,part
participa,participate
pastram,we keep
păstrăm,we keep
patru,four
pavel,Paul
perioada,period
permite,allows
