ro,en
a se ruga,to pray
congres de circuit,circuit assembly
Împărăția lui Dumnezeu,God's Kingdom
Martorii lui Iehova,Jehovah's Witnesses
Martorul lui Iehova,Jehovah's Witness
slujitor de slujire,ministerial servant
slujitori de slujire,ministerial servants
supraveghetor de circuit,circuit overseer
asistență totală,total attendance
Cartea Bucuriei,The Book of Joy
cei buni,the good
cei drepți,the righteous
cei răi,the wicked
congres regional,regional convention
congres special,special convention
congrese speciale,special conventions
duh sfânt,holy spirit
Duhul Sfânt,holy spirit
familie creștină,Christian family
Isus Cristos,Jesus Christ
Turnul de Veghe,the Watchtower
nume noi,new names
nume nou,new name
Sala regatului,Kingdom Hall
Sala Regatului,Kingdom Hall
adunare,congregation
Avraam,Abraham
bătrân,elder
bătrâni,elders
Betei,Bethel
Betel,Bethel
biblic,biblical
biblice,biblical
Biblia,the Bible
botez,baptism
boteza,to baptize
bucurie,joy
bunătate,kindness
circuit,circuit
Coloseni,Colossians
congregație,congregation
congregații,congregations
congregației,congregation
congregațiile,congregations
congres,convention
congrese,conventions
congres special,special convention
congrese speciale,special conventions
congres regional,regional convention
copii,children
credință,faith
Cristos,Christ
David,David
Deuteronomul,Deuteronomy
Dumnezeu,God
Eclesiastul,Ecclesiastes
Efeseni,Ephesians
Evrei,Hebrews
Ezechiel,Ezekiel
familie,family
Filipeni,Philippians
fraților,brothers
frați,brothers
Iacov,Jacob
Iehova,Jehovah
Ieremia,Jeremiah
Împărăția,Kingdom
înțelepciune,wisdom
Ioan,John
Isaia,Isaiah
Isus,Jesus
iubire,love
Luca,Luke
mântuire,salvation
Marcu,Mark
Martorii,witnesses
Matei,Matthew
Mesia,Messiah
Moise,Moses
predicare,preaching
predicarea,the preaching
predicat,preached
predicator,preacher
Proverbele,Proverbs
Psalmul,Psalm
răscumpărare,ransom
recunoștință,gratitude
Romani,Romans
rugăciune,prayer
Scriptura,Scripture
Scripturile,the Scriptures
scripturi,scriptures
slujitoare,ministerial servant
soț,husband
soție,wife
speranță,hope
spiritism,spiritism
surorilor,sisters
surori,sisters
trombocite,platelets
umilință,humility
vestitor,publisher
vestitori,publishers
Wachtturm,Watchtower
adevarat,true
adevărat,true
adevarati,real
ajuta,help
ajută,help
ajutat,helped
ajutor,help
alcool,alcohol
altii,others
alții,others
anume,certain
articol,article
batranii,elderly
biblie,Bible
bucura,joy
cateva,a few
câteva,a few
cerceteaza,Examine
cercetează,Examine
cineva,someone
citirea,reading
cititi,Read
citiți,read
congregatia,congregation
congregația,Congregation
congregatie,congregation
congregatiei,congregation
copiii,children
corpul,body
creat,creator
credinta,faith
crestini,Christians
creștini,Christians
crestinii,Christians
creștinii,Christians
crezi,you believe
cuvantul,the word
cuvântul,the word
decizii,decisions
discutati,discussion
discutați,Discuss
exemplu,example
exista,exist
există,exist
fiecare,each
folosi,use
inainte,before
inceput,start
început,start
inchinare,worship
închinare,worship
inima,heart
inseamna,means
înseamnă,means
intelege,understand
înțelege,understand
intrebari,question
întrebări,question
intruniri,meetings
întruniri,meetings
intrunirile,the meetings
întrunirile,meetings
invata,learn
iubesc,I love
iubirea,love
lecția,Lesson
lectiei,lesson
lecției,lesson
lucrarea,ministry
lucruri,things
moartea,death
multe,many
multi,many
mulți,many
nevoie,need
noastra,our
noastră,our
noastre,our
nostru,our
oameni,people
oamenii,people
oamenilor,people
pagina,page
pamant,earth
pământ,earth
persoana,person
persoană,person
persoane,people
predica,preach
pregătit,prepared
prieten,friend
prietenii,friends
privire,look
punct,point
punctul,point
religia,religion
rezumat,summary
sange,blood
sânge,blood
schimba,change
simti,feel
simți,feel
situatii,situations
situații,situations
speranta,hope
spune,say
timpul,time
totdeauna,always
trebuie,must
treziți,Wake
turnul,the tower
vedea,see
vedere,view
veghe,watch
viata,life
viața,life
viață,life
vietii,life
vizionati,Preview
vizionați,watching
ajute,help
ajutorul,the help
alege,choose
aproba,approve
aprobă,approve
asadar,therefore
așadar,therefore
asculta,listen
asteapta,Wait
așteaptă,Wait
atentie,Careful
atenție,Careful
babilonul,Babylon
barbat,man
bărbat,man
batrani,old
Bibliei,Bible
binele,the good
botezi,baptize
botezul,baptism
bucură,joy
bucuram,enjoy
calitati,qualities
calități,qualities
calitățile,qualities
capitolul,Chapter
carte,book
casatorie,marriage
căsătorie,marriage
cauta,search for
caută,search for
cauza,cause
cinstit,honest
cinstiti,honest
cinstiți,Honor
citeste,read
citește,read
citesti,you read
citești,you read
constiinta,conscience
conștiința,conscience
contine,contain
conține,contain
continua,continue
continuă,continue
continui,content
credința,faith
crestin,Christian
creștin,Christian
cunosti,know
curaj,Courage
curati,clean
curați,clean
decizia,Decision
decizie,decision
dedici,commit
demonii,demons
descoperi,discover
deveni,become
dezonorează,dishonor
dezvaluie,reveal
dezvăluie,Reveals
diferite,differently
discipolii,followers
divertismente,Entertainment
dovedi,prove
drept,justice
efect,effect
eforturi,efforts
evenimente,event
evitam,we avoid
familia,family
familiei,Family
faptul,the fact
femeie,woman
fericita,happy
fericită,happy
fericiti,happy
fericiți,happy
fidel,faithfully
fizic,physical
folosește,use
folosim,we use
folosirea,use
folosit,used
fratii,brothers
frații,brothers
gândește,thinks
gandurile,thoughts
gândurile,thoughts
gresit,wrong
greșit,wrong
grija,care
ilustratia,illustration
ilustrația,the illustration
ilustratiile,illustrations
ilustrațiile,illustrations
importanta,importance
importantă,importance
importante,important
impotriva,against
împotriva,against
impreuna,together
împreună,together
incearca,try
încearcă,try
incepe,start
începe,start
inchinam,worship
inchinarea,worship
închinarea,worship
incredere,trust
încredere,trust
indeamna,urges
indiferent,indifferent
influenta,influence
îngeri,angels
ingerii,angels
îngerii,angels
